genome, generations, best_error, diversity, avg_size, time_taken, found_solution
[1 1 + 1 1 x + x * + -1 - + + *], 8, 0, 1.0, 13.31, 4498.252543, true
[1 - x 1 / x * 1 + x + -1 - -1 / - 1 +], 9, 0, 0.995, 13.145, 5434.578776, true
[1 + x 1 1 + + x x * 1 + + + + 0 +], 26, 0, 1.0, 21.55, 23871.310167, true
[-1 1 0 1 x x * -1 - 1 + + -1 -1 - x - 1 - -], 27, 0, 1.0, 23.04, 23482.116879, true
[1 1 + * 1 1 x x x * + + + + + *], 9, 0, 0.995, 13.81, 5497.13449, true
[1 1 x -1 + - x x * 1 + + 1 x -1 + x + + + +], 15, 0, 0.995, 23.055, 13698.873418, true
[- x x x + 1 x x * 0 + x + 0 + + 1 1 + + 1 +], 15, 0, 1.0, 20.45, 12736.878389, true
[- * 1 + 1 x + x - + x x * + + 1 + / x + * -1 - * -], 16, 0, 1.0, 22.83, 12629.114434, true
[/ 1 1 - -1 1 x x / 1 + x 1 + x * + + + 1 + 1 +], 9, 0, 1.0, 20.545, 6539.563057, true
[x 1 / * + / + 1 1 + + 1 1 + + x x * +], 23, 0, 1.0, 18.66, 16134.089214, true
[x x * * 1 + 1 + x 1 + + 1 +], 10, 0, 1.0, 15.765, 6674.458466, true
[- 0 x + x x * 1 * 0 + -1 - 1 + + + 1 1 0 + + +], 12, 0, 1.0, 21.31, 9345.295976, true
[+ - x x 0 -1 1 x 0 x x * 1 1 * + + x 1 1 1 + + + +], 15, 0, 1.0, 22.06, 12785.78773, true
[1 + -1 1 - - 1 x + + x x * +], 13, 0, 0.995, 13.065, 8707.503763, true
[- - 1 - - 0 x x x 0 -1 + 1 + + * + + + 1 + + 1 + + 1 + *], 32, 0, 1.0, 25.46, 26305.400707, true
[x x 1 / 1 1 1 + x 1 / x * 1 + + + +], 25, 0, 1.0, 21.195, 20769.049266, true
[1 x -1 1 1 x 1 x x * 0 1 + + + + + +], 12, 0, 1.0, 19.105, 8440.688171, true
[x x * 1 + + 1 + 1 + 1 x + + +], 9, 0, 1.0, 13.885, 5413.377926, true
[1 1 1 1 x x * + + + x + +], 12, 0, 1.0, 14.865, 7779.751642, true
[x x * * -1 - - 1 0 1 x + + + 1 + 1 * +], 20, 0, 1.0, 21.615, 17752.36153, true
[* 1 1 1 x 1 x 0 + x * + + + + +], 10, 0, 1.0, 15.485, 7182.863073, true
[1 - 1 + 1 1 1 x + x * + + +], 10, 0, 1.0, 15.95, 8322.282598, true
[1 0 1 + 1 + + + -1 - x x 1 + * +], 14, 0, 1.0, 15.255, 9851.150454, true
[x x * 1 + 1 1 + + 1 + x + + 0 + x + + + x - + +], 17, 0, 1.0, 24.55, 15234.717081, true
[1 x x 0 0 * - - 1 + 1 x x * + + 1 x + + + +], 23, 0, 1.0, 24.585, 20558.133499, true
[x x * x 1 1 1 + + + 1 0 + + +], 10, 0, 1.0, 14.03, 7048.774573, true
[1 1 1 x x * + x 1 + + + + +], 10, 0, 1.0, 13.985, 6082.624917, true
[1 x 1 x x * -1 - + + + + 1 1 / +], 9, 0, 1.0, 15.69, 6296.519916, true
[1 x * 1 1 + + + * x x * 1 + 1 + + +], 32, 0, 1.0, 21.105, 26467.964753, true
[x * 1 x x * + 1 + 1 + 1 / 1 + + *], 22, 0, 1.0, 13.64, 15503.318847, true
[0 1 1 1 + + / x x * 1 1 + 1 1 + x + + +], 16, 0, 1.0, 24.49, 12837.322101, true
[1 1 x x * + 1 1 x + + + +], 11, 0, 1.0, 14.87, 8472.460392, true
[1 1 1 x 1 + x x * 1 1 + + + +], 12, 0, 1.0, 16.16, 8968.087825, true
[1 / / / - 1 + x x * + + 1 + x + 1 +], 19, 0, 1.0, 23.32, 18698.437673, true
[x x * 1 + + * 1 1 + x + + -1 - - - - -], 16, 0, 1.0, 18.805, 12503.116762, true
[1 x x x * 1 1 1 + + + + + +], 7, 0, 1.0, 13.595, 4205.441707, true
[x - -1 - x * 1 0 1 + 1 + + -1 - + / -], 43, 0, 1.0, 16.12, 32865.605904, true
[-1 x - x + x + x * / 1 x x 1 1 + + + 0 + 1 + + +], 31, 0, 1.0, 24.67, 30244.946207, true
[+ 1 x 1 x x * + 1 + 1 + + + +], 12, 0, 1.0, 18.005, 9647.976553, true
[1 1 x x 1 + * 1 + + 1 + + + +], 10, 0, 1.0, 13.345, 7099.952161, true
[1 1 -1 x x x * + - - + - -1 - - +], 6, 0, 0.995, 12.35, 3250.356876, true
[1 x x 1 + * + + + + 1 + 1 + 1 +], 14, 0, 0.995, 13.72, 11125.504394, true
[/ / 0 x x x * 1 1 + + + + + + / 1 + 1 + + + +], 18, 0, 1.0, 19.04, 14346.313596, true
[+ 1 - x x x 0 x x * 0 1 1 + 1 1 x -1 / - 1 0 * + + + + +], 35, 0, 1.0, 26.205, 42966.218332, true
[0 * - 1 x x * + + 1 + + x + + 1 + + + * 1 +], 23, 0, 1.0, 20.4, 20636.871342, true
